Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP
0,5;-0,5689;-0,5098;-0,5099;-0,528684;0,053358;-1,794168;-0,6117;-1,5295628;-0,10556;-0,66717;-0,207154;-0,533028;-0,2689;-0,212762;-0,819282;-0,463506
1;-0,69611;-0,1478;-0,1626;-0,598624;0,238148;-0,538908;-0,511;-0,6794698;0,04254;0,25195;0,068666;0,171162;0,13294;-0,084042;0,475148;0,483944
1,5;-0,16857;0,2339;0,0098;-0,006874;-0,269802;0,085992;0,2975;0,0126602;0,21164;0,72945;-0,093814;0,029782;0,05185;0,085068;0,021758;0,152054
2;0,65469;0,2586;0,1889;0,339496;-0,185692;0,968592;0,374;0,7659862;-0,00756;-0,14295;0,293856;0,401172;0,17575;0,035328;0,221628;0,199984
2,5;0,77889;0,1651;0,4738;0,794686;0,163988;1,278492;0,4512;1,4303862;-0,14106;-0,17128;-0,061554;-0,069088;-0,09164;0,176408;0,100748;-0,372476
3;0,86028;0,7801;0,9467;1,149196;0,795528;2,242592;0,9504;2,2186762;0,28064;0,02918;0,385496;0,185942;0,17755;0,419978;-0,414132;-0,200946
3,5;0,52295;0,4102;0,6619;0,825736;0,531158;2,282992;1,0445;2,0564962;0,36624;0,67037;0,567576;0,854852;0,58873;0,701228;0,674108;0,222294
4;0,8018;0,8672;1,0058;0,744346;0,670428;2,298592;1,0095;3,0877562;0,62154;0,99714;0,859986;1,099632;0,94173;0,750068;0,956558;0,989784
4,5;1,05742;1,3899;1,3326;1,138936;0,277028;3,216292;1,4882;2,9876762;0,95224;0,73729;0,364696;0,697202;1,37281;0,778708;0,466108;1,010884
5;1,13188;2,2527;1,4324;1,202846;1,079488;3,214692;1,7378;3,8645962;1,21544;1,20183;0,893146;0,728852;2,32844;1,507308;0,392548;1,224004
5,5;0,95011;3,7225;2,2969;1,607096;1,390588;3,686492;2,4797;4,1241462;-3,58034;5,65548;7,032466;4,155442;3,37114;3,844158;7,709328;1,179094
6;0,96699;6,8664;3,4183;2,864436;2,615128;5,369192;4,7912;4,3788662;-4,21851;5,75858;8,698566;7,298692;5,09814;5,587998;8,465728;2,913344
6,5;1,2591;12,7582;5,0832;4,813916;5,694128;7,754592;7,9429;5,6600362;-4,72495;8,32778;14,903666;14,786392;11,73274;12,366798;11,925728;6,587444
7;1,31004;21,7065;8,8508;8,013516;9,631928;12,006492;12,9273;7,0394762;-2,7607;15,41698;27,170266;29,795292;23,88934;26,603098;20,576128;14,018144
7,5;1,48337;32,5361;14,1524;13,734116;15,743828;17,744992;20,381;8,8514862;-2,8861;24,73098;46,479066;51,302592;44,95324;46,489198;32,707128;26,986244
8;2,02293;45,3538;21,6799;20,347416;23,640628;24,720192;29,3199;11,4958162;-1,86656;37,85218;74,256266;79,367392;74,75344;73,876198;53,749628;46,382244
8,5;2,67083;61,0066;31,2606;29,592516;32,299828;34,188492;40,1013;15,3140162;-1,04276;54,74128;106,346066;111,681892;109,75204;104,612798;80,355028;71,973844
9;2,61203;77,2943;41,4141;39,219716;42,213628;44,203892;51,8799;18,1621162;-1,33246;71,33068;137,583066;143,285892;144,34104;134,327798;108,175328;98,084544
9,5;3,28273;96,3215;53,7015;50,899416;54,877828;56,781592;65,4777;23,5888162;-0,95496;89,19918;167,750066;171,860892;177,33404;161,831798;135,199328;125,410544
10;4,21873;116,6165;66,8064;63,550916;68,312328;71,293092;81,5408;29,2989162;-0,36956;105,99358;194,606066;198,295892;206,43004;187,614798;162,011328;151,469544
10,5;5,97283;138,0915;81,4795;77,397216;83,897328;87,289592;98,819;36,5499162;0,29904;121,99758;218,492066;221,308892;232,72604;210,342798;185,338328;175,788544
11;7,23203;159,4255;97,4668;93,245316;99,523828;105,440492;117,888;44,5715162;0,64204;137,10758;239,125066;240,992892;255,57204;229,895798;205,441328;197,422544
11,5;7,36223;180,7605;112,6838;107,787716;115,041828;122,938492;136,549;52,4108162;0,76564;150,29058;256,876066;257,524892;274,37204;246,980798;223,105328;216,404544
12;8,70043;199,5315;129,3918;123,293716;130,943828;143,030492;155,868;62,2688162;1,71224;163,57458;273,066066;272,997892;291,25004;262,135798;239,562328;233,931544
12,5;9,89293;217,4445;144,7888;138,423716;146,645828;162,080492;175,436;72,3544162;1,94824;174,47758;285,975066;285,025892;305,27704;274,536798;252,610328;248,361544
13;11,25523;235,3265;160,7578;153,091716;162,503828;181,761492;195,005;82,9372162;1,88554;183,77158;296,360066;294,262892;315,87504;284,590798;263,320328;260,366544
13,5;12,59423;252,0355;175,7128;167,171716;177,012828;200,543492;212,903;93,6172162;2,28404;193,40258;305,301066;302,150892;324,69804;292,826798;272,829328;270,611544
14;14,06053;267,7665;190,7308;180,667716;190,815828;219,318492;230,513;105,2290162;1,58084;201,17158;312,370066;308,388892;332,24604;298,853798;279,322328;279,213544
14,5;14,24563;280,2085;203,4518;192,231716;203,066828;236,068492;244,793;115,2050162;1,92474;208,22958;319,101066;315,157892;338,23604;305,428798;285,485328;286,204544
15;14,69053;291,1835;215,1978;202,419716;214,320828;251,728492;259,149;125,4270162;3,10704;215,33258;324,650066;323,733892;343,57304;310,299798;291,892328;292,939544
15,5;14,85183;300,7325;226,1358;211,521716;224,298828;264,819492;270,762;135,0660162;3,44044;221,60558;329,943066;328,933892;347,97604;314,838798;295,275328;297,346544
16;14,68933;308,5835;235,6268;219,101716;232,549828;277,145492;281,466;144,2560162;3,64514;227,30258;333,910066;333,125892;351,72904;318,580798;299,995328;302,167544
16,5;14,77463;315,3575;243,5828;225,703716;239,537828;287,441492;290,313;152,8720162;4,07294;232,21158;337,543066;335,727892;354,57704;320,807798;303,233328;306,260544
17;13,97823;320,9985;250,7528;231,316716;245,487828;296,071492;297,524;159,3830162;4,32494;235,95958;340,338066;331,040892;352,94904;317,491798;304,247328;308,885544
17,5;13,28973;326,1225;256,8368;236,053716;251,369828;303,089492;303,7;165,7900162;4,30414;240,31358;337,082066;309,114892;339,15204;300,522798;298,486328;309,783544
18;12,55113;330,5385;262,2338;240,029716;255,250828;309,655492;309,466;171,8810162;4,76204;243,18658;321,909066;284,280892;313,20604;278,833798;280,868328;299,778544
18,5;11,90693;334,9695;267,5938;244,561716;259,550828;315,114492;314,112;176,6950162;4,23474;245,86258;300,640066;272,761892;295,69804;264,959798;263,489328;278,223544
