Zeit;Probe1;Probe2;Probe3;Probe4;Probe5;Probe6;Probe7;Probe8
0,5;4,93875;9,90726;9,02883;4,97432;6,8195;9,90545;10,9364;0,127904
1;4,95805;9,91691;8,97969;5,08857;6,82884;10,7821;11,0229;1,20709
1,5;4,87876;10,3896;8,75602;5,39997;7,53032;10,6814;12,0433;1,85762
2;4,80762;10,4221;8,7319;5,06747;7,61593;11,495;11,4935;2,29653
2,5;5,926;11,6478;9,49849;6,45083;8,356;12,4485;12,5501;3,60182
3;4,97884;10,839;9,28024;6,11441;7,90201;12,0177;12,5676;3,25455
3,5;6,11501;11,3036;9,38424;6,79448;8,30294;12,6915;12,4708;3,51681
4;5,87777;11,8875;10,1261;7,24515;9,33842;13,175;13,5406;3,89875
4,5;6,20002;11,7142;9,93349;6,37486;8,88051;13,5506;13,1662;4,70211
5;5,89646;11,5074;9,58772;6,55453;8,09765;13,2772;12,7581;4,27827
5,5;8,59414;15,6803;12,8591;10,8116;15,5815;22,2164;18,8076;10,8125
6;7,27198;13,7942;10,8623;10,0149;14,9834;20,2579;17,5659;9,67936
6,5;7,40944;14,9144;11,5854;12,6131;15,9507;20,9883;18,9318;9,96393
7;8,34273;15,7819;12,9887;14,6849;17,1583;21,6864;19,4554;10,3377
7,5;8,52481;18,192;14,3313;19,0671;18,7379;24,3241;21,9101;11,8073
8;8,53958;22,1748;16,5952;27,36;21,6946;28,246;24,9198;14,0588
8,5;9,41499;31,2801;22,5742;42,9291;28,6457;36,9603;33,3414;19,3583
9;9,82195;46,0442;32,2146;61,7598;38,5743;51,83;47,6163;27,9578
9,5;9,33932;64,0954;45,2713;81,1527;51,8544;72,8613;68,2868;40,0372
10;11,1134;86,7087;63,8193;102,953;68,5813;98,6995;95,7317;56,0271
10,5;11,0353;110,679;83,7524;122,787;87,1814;127,367;125,074;74,1868
11;11,3063;134,44;104,99;141,342;106,964;155,95;155,771;93,2285
11,5;12,0804;157,109;126,283;159,412;126,374;184,355;186,18;113,879
12;12,2082;178,625;147,173;175,837;145,64;211,516;215,128;132,759
12,5;12,4838;197,054;166,096;190,082;163,491;235,497;240,426;150,899
13;12,3954;214,397;183,866;203,115;180,114;257,59;263,268;168,414
13,5;13,0246;230,008;199,579;215,401;195,266;277,292;283,815;182,781
14;13,1002;242,689;213,414;225,548;208,174;293,894;300,617;196,048
14,5;13,5057;255,215;225,288;235,044;219,349;308,71;315,344;207,904
15;13,9814;265,201;236,025;243,973;230,435;321,312;328,806;218,873
15,5;14,7211;275,095;245,943;251,986;239,939;333,112;338,985;227,294
16;14,558;283,307;253,02;257,92;247,199;342,396;348,077;234,501
16,5;14,9743;291,046;260,716;263,755;254,067;350,774;356,465;241,091
17;14,4887;297,215;266,487;269,475;259,742;357,684;363,223;247,159
17,5;14,6322;303,172;271,369;273,804;265,295;364,228;368,866;252,236
18;14,5273;308,581;276,409;278,482;270,14;370,022;375,384;256,871
18,5;15,4136;313,934;281,24;282,456;273,974;375,265;379,338;261,498
19;15,4986;317,942;285,942;285,247;274,345;376,432;383,688;265,012
19,5;16,1545;321,098;285,98;288,229;270,827;368,666;384,019;266,291
20;15,0792;319,233;278,283;285,13;264,785;351,896;366,833;257,068
