Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP;ProbeQ;ProbeR;ProbeS;ProbeT;ProbeU
0,5;-0,34814;-1,80742;-1,3302;-0,88002;-2,4994;-4,30348;-1,2076;2,391648;-1,993976;-1,24434;-1,648994;-2,098158;-0,5392;-3,069188;-4,12837;-6,615502;-5,70462;-9,28781;-10,93861502;-8,2246604;-8,7643064
1;-0,41574;-1,29132;-1,3555;-0,87882;-2,3563;-3,17298;-1,1859;1,524378;-1,659666;-0,57964;-1,194714;-1,061468;-1,10145;-0,250918;-3,06002;-5,046752;-3,75702;-5,40392;-6,52898992;-3,5949874;-5,3913744
1,5;-0,14194;-1,54462;-1,4661;-0,66542;-2,4476;-2,74038;-0,6204;2,051008;-1,205376;-0,24444;-0,523074;0,418352;-0,58205;0,568722;-3,38469;-4,861962;-3,70692;-3,98861;-4,46556502;-2,6951574;-4,8777064
2;0,55136;2,97598;2,5712;1,58368;3,837;5,77342;1,9766;-4,630042;2,724024;1,37406;1,776086;1,213282;1,2435;1,322642;6,28914;9,361658;7,40268;9,97942;11,68918498;7,8773526;10,1996436
2,5;0,35446;1,66738;1,5806;0,84058;3,4663;4,44342;1,0373;-1,336992;2,134994;0,69436;1,590696;1,527992;0,9792;1,428742;4,28394;7,162558;5,76588;8,70092;10,24398498;6,6374526;8,8337436
3;2,88246;4,09168;1,7244;3,92778;5,6207;6,29192;1,1579;0,402988;4,636424;2,47986;2,464546;2,243332;1,9097;1,413342;3,57034;6,304058;4,96998;8,21352;9,72818498;6,0460526;8,1130436
3,5;15,19426;18,28968;7,2714;19,28158;17,6001;19,61902;1,5775;4,402038;20,697424;11,66406;9,034746;6,789482;5,8443;2,252342;3,92484;5,800958;4,65828;8,01482;9,84458498;6,1032526;7,2369436
4;48,99386;70,21208;30,6215;67,51248;58,9392;62,07842;0,9683;21,551838;71,803224;46,49886;35,372746;25,826082;24,7606;2,875742;4,24624;6,212758;5,14428;8,46102;10,02218498;6,8710526;7,6545436
4,5;98,65936;156,92648;95,037;144,41098;132,7947;134,07502;1,5917;60,399738;125,986224;97,01566;84,077546;60,619182;66,5024;3,299542;4,43764;6,835258;5,39808;9,28122;10,50208498;6,8924526;8,1491436
5;142,30036;227,41148;171,2;210,14598;201,0417;199,21202;2,8355;105,959138;169,893224;141,67466;129,408346;98,185382;111,1;4,577142;5,93884;9,764458;4,92328;13,08192;11,85498498;7,6382526;7,8311436
5,5;178,79836;279,74648;229,389;261,33398;254,7147;251,61602;4,5329;142,222138;205,072224;179,75466;166,417346;132,029382;148,34;4,920142;10,60804;18,073558;4,96158;26,23002;15,04728498;10,5692526;8,4756436
6;208,13936;319,45648;272,506;301,20298;297,5557;292,56802;4,6484;172,851138;236,085224;214,14866;198,848346;164,287382;182,461;6,146742;22,42344;37,234658;5,38298;58,39782;25,36568498;17,9430526;8,6586436
6,5;233,52836;352,09448;307,219;334,49198;332,8277;327,75702;4,9996;197,918138;261,767224;242,84066;228,174346;192,477382;211,877;5,977342;43,50264;66,861858;4,77558;107,56622;45,79768498;32,6743526;8,7147436
7;254,48136;378,16348;334,715;361,11098;361,6807;356,28602;5,8409;220,098138;284,585224;268,42866;253,211346;217,644382;238,864;6,366542;71,23604;99,751558;5,06918;157,04222;76,01838498;56,4557526;8,7225436
7,5;272,34636;399,13148;357,544;383,30798;385,5027;380,39802;5,9645;239,426138;304,664224;291,40566;274,559346;240,132382;262,184;6,998642;100,79374;133,469558;5,19188;198,67322;112,444885;87,0306526;9,4999436
8;288,09936;417,34648;376,721;401,96798;406,6187;401,32802;6,9123;255,255138;320,604224;310,86966;293,903346;259,597382;282,717;7,758642;129,41874;164,048558;5,11198;231,37222;147,886885;117,9083526;9,5759436
8,5;301,90636;431,66448;391,57;417,04398;423,5947;418,53002;7,0645;269,888138;335,011224;327,47066;311,194346;277,174382;301,324;8,695842;155,95874;192,054558;5,34588;258,51322;181,566885;149,3663526;9,8960436
9;313,20536;443,74048;404,142;430,32198;438,1807;433,27402;7,6011;282,282138;347,238224;342,74866;325,441346;292,300382;317,984;8,740742;180,07074;216,213558;5,75348;281,79022;211,561885;178,6303526;10,0419436
9,5;323,52436;454,17648;415,118;442,22798;450,4047;446,99402;9,1391;292,926138;357,484224;354,97566;337,446346;305,958382;331,978;8,572242;202,69974;237,596558;7,21008;300,57622;238,255885;205,7043526;10,6063436
10;331,79436;462,61548;423,758;450,99398;460,4867;457,21802;9,3718;302,145138;366,113224;365,79466;347,515346;317,855382;344,356;9,671042;221,55374;255,359558;8,02248;316,28922;260,978885;228,7873526;10,4667436
10,5;339,49736;470,18648;431,103;458,43898;469,0787;466,81102;9,9597;309,385138;373,195224;373,87566;356,756346;327,422382;354,626;9,621542;238,17574;271,451558;9,10108;330,81622;281,291885;249,4913526;10,8088436
11;346,30836;476,60848;437,339;463,62898;476,0767;474,78602;9,9925;315,923138;378,919224;381,44466;363,924346;335,513382;363,482;9,750942;252,64474;285,665558;11,05328;342,16122;298,803885;268,3793526;11,2007436
11,5;351,01136;482,13248;441,937;468,90998;482,2347;480,66602;10,9165;320,957138;383,349224;387,64766;368,754346;342,245382;370,244;9,806642;265,44374;297,659558;11,31098;351,74722;313,642885;283,9673526;11,0889436
12;355,69336;486,44148;445,988;472,98098;487,0517;486,01702;12,115;325,656138;386,423224;392,52466;373,255346;347,461382;376,571;9,596242;276,98574;308,554558;10,59178;360,58522;327,850885;297,6593526;11,9176436
12,5;359,75936;490,68448;449,031;476,21898;490,5197;490,44602;12,6106;330,221138;390,784224;397,19066;379,474346;353,695382;382,868;10,404142;286,97774;318,584558;9,87878;368,64622;339,195885;310,4623526;12,6296436
13;363,30936;493,58148;451,637;478,10498;494,4087;494,24802;13,9714;332,574138;393,039224;401,21666;383,960346;358,685382;388,023;11,038442;295,81974;326,455558;8,41288;373,91222;349,176885;320,9653526;12,6842436
13,5;365,75636;495,25648;452,792;480,29398;496,1707;495,81802;14,3675;334,829138;396,113224;405,49066;386,142346;363,288382;392,809;11,551442;304,01374;333,967558;8,04748;380,21022;358,401885;330,6183526;12,9537436
14;368,78836;497,01548;454,218;481,36398;498,4567;498,27502;15,7162;336,062138;398,580224;405,25066;361,542346;364,456382;382,869;11,483342;310,56774;339,944558;6,38868;383,78822;365,216885;338,6673526;12,7689436
14,5;371,19136;497,97048;454,635;480,27198;499,5607;498,87102;16,704;338,339138;401,017224;384,66466;316,150346;338,697382;331,559;12,156742;316,25274;345,177558;5,74778;387,23322;371,970885;345,8213526;13,5300436
15;371,07036;498,52448;455,157;477,96698;497,6677;498,07902;18,0506;339,350138;397,083224;340,93866;304,854346;300,064382;312,61;12,398242;322,90874;350,653558;6,18098;390,72722;378,197885;353,0893526;13,7784436
15,5;368,67036;499,00248;455,374;473,18298;490,3527;495,03102;18,7653;340,607138;384,317224;325,32066;304,285346;292,022382;310,595;12,091342;326,91274;354,671558;5,24398;393,66622;382,503885;358,0253526;13,7022436
16;365,65736;500,12948;455,612;465,13698;478,9907;489,70502;21,0024;341,705138;363,100224;322,12166;307,273346;292,807382;313,279;12,816942;331,43574;358,495558;4,96998;395,88722;386,947885;363,3053526;14,3427436
16,5;356,48536;499,40448;454,624;452,21698;458,4537;479,03202;22,2145;342,493138;343,963224;322,19366;313,462346;295,929382;317,981;12,053042;335,10474;361,960558;4,99318;398,01022;390,799885;368,1493526;14,8368436
17;341,94936;500,26648;455,164;434,42098;433,5617;466,12302;24,1251;344,801138;335,085224;325,26766;329,035346;301,791382;327,508;12,798842;338,62774;365,943558;5,18408;399,87422;395,107885;372,5613526;14,9713436
17,5;325,71436;501,03648;455,917;415,66298;415,3717;451,46402;25,7774;345,551138;329,360224;333,74166;350,231346;311,775382;344,577;13,116942;341,37174;368,477558;5,03698;401,27622;397,728885;375,3243526;14,9957436
18;314,41536;501,84648;456,263;401,32598;405,6477;438,49202;28,0886;346,410138;326,814224;351,95966;364,944346;329,666382;364,564;12,658642;344,49674;371,942558;5,17438;401,83922;399,061885;376,8843526;15,0080436
18,5;306,42836;501,80748;456,189;393,48398;401,1587;427,69602;29,4632;346,900138;327,201224;370,24566;375,189346;347,157382;378,542;12,765742;347,00374;374,405558;4,91668;403,66622;398,266885;375,1793526;15,5106436
19;303,04236;502,21248;456,665;389,39698;401,4677;420,88102;30,9533;346,184138;332,143224;381,84466;382,377346;358,054382;387,871;12,829942;347,56674;375,384558;4,57748;404,74222;395,977885;368,9403526;15,3173436
19,5;303,34436;501,71948;457,4;390,54598;406,4357;417,31402;33,364;343,602138;343,266224;389,71466;388,446346;365,853382;394,897;12,754842;343,57374;374,972558;4,96818;406,81722;391,279885;356,9393526;16,2931436
20;304,82036;500,66648;457,485;394,03598;414,3877;417,21902;34,7531;339,885138;354,700224;395,89766;393,469346;372,027382;401,606;12,285542;332,10474;370,449558;4,93958;407,95322;380,370885;337,1593526;16,7227436
