Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP;ProbeQ;ProbeR;ProbeS;ProbeT;ProbeU
0,5;-0,511144;-0,431674;-0,453142;-0,517952;-0,01429;-0,325932;-0,641002;-0,16067372;-1,7693404;-0,467668;-1,2340186;-2,1556148;-1,180296;-1,865496;-0,480092;-0,49398;-0,81008;-0,15904;-0,650714;-0,25614;0,105934
1;-0,285354;-0,349684;-0,171892;0,018928;-0,21174;-0,140232;0,121058;0,19413258;-0,3244804;-0,020318;0,7899144;-0,5467748;0,641364;-0,773943;-0,205772;-0,20608;-0,04168;0,04676;0,030566;0,30156;0,202094
1,5;-0,082174;-0,320744;-0,111902;-0,048292;-0,45079;0,142528;-0,152352;-0,18388302;-0,0932704;0,169592;0,2991594;0,4884092;0,250684;0,185571;-0,000182;0,06402;-0,02248;0,27076;-0,164764;0,05676;0,121304
2;0,081816;0,313506;0,021948;-0,016642;-0,07729;-0,083262;0,170498;0,06752558;0,7595396;0,092422;-0,5548496;0,8085552;0,187984;0,815304;0,088448;0,36402;0,25702;-0,16184;0,097486;-0,16954;-0,167186
2,5;0,796856;0,788596;0,714988;0,563958;0,75411;0,406898;0,501798;0,08289858;1,4275516;0,225972;0,6997944;1,4054252;0,100264;1,638564;0,597598;0,27202;0,61722;0,00336;0,687426;0,06736;-0,262146
3;0,588246;0,490766;0,547678;0,333048;0,2112;-0,151992;-0,065842;0,09405758;2,0765704;0,826752;1,1384044;1,4877202;0,840024;2,467554;0,925878;1,16852;1,46282;0,19966;0,834236;0,15716;0,198474
3,5;0,219876;0,419316;0,624548;0,514818;0,19582;-0,263832;0,653118;5,68445458;9,9598096;5,569212;1,8356544;9,2600152;5,526674;5,882084;1,221008;1,00572;3,08192;0,96746;0,676576;0,25186;0,907184
4;0,940646;1,058696;1,217488;0,902178;1,14268;0,016218;1,176748;4,05993458;8,9993796;3,365572;0,5620244;7,7404052;3,993494;4,556004;1,315308;1,35602;3,37732;1,04496;0,772436;0,52646;0,813434
4,5;0,326296;1,433696;1,529488;1,301298;1,09746;0,263108;0,262748;4,50819458;8,9770796;4,179792;1,3904044;8,8298552;6,134704;4,651564;2,794008;4,39742;9,91032;2,17746;4,099566;-4,93104;3,465864
5;0,981046;2,902666;2,932488;3,847318;3,45695;1,476748;0,906038;8,77401458;13,9826596;9,060912;5,8337944;14,4374352;10,696524;4,865894;1,778408;6,45152;12,64212;3,61386;8,166466;-0,30644;1,870064
5,5;1,224316;7,085576;5,643388;9,464318;7,37845;4,262758;1,505628;22,28168458;30,6498596;17,504512;17,6144344;28,0247352;17,641324;6,058424;1,674108;19,67342;30,21422;16,38936;27,181866;16,82886;2,288164
6;0,885486;14,640876;11,443588;18,711918;14,21655;9,183958;0,843338;42,47978458;54,6869596;30,811112;32,5754344;47,1617352;28,226524;5,800384;2,159108;57,74692;63,98092;47,57956;60,412066;46,01686;3,194564
6,5;0,420346;29,033576;22,700388;35,024018;27,76855;19,411258;1,140568;63,86618458;79,3916596;50,384312;50,7375344;69,4214352;43,926024;5,824504;2,539808;98,56782;98,39922;80,22056;94,522166;75,18736;4,236964
7;0,729036;48,962776;40,793088;56,151118;46,10075;35,151158;1,710918;85,58598458;102,4236596;73,549912;70,0677344;92,3434352;63,981824;7,175304;2,866608;134,56882;130,36722;111,62406;125,197166;103,45476;4,829964
7,5;1,314146;73,194876;66,121588;80,200518;68,08915;54,291158;2,289088;105,6553846;122,9616596;96,884412;89,7413344;113,7164352;84,261024;8,025694;2,516608;165,58482;157,09022;139,98806;151,622166;128,69176;5,338464
8;1,064846;98,460876;94,012388;103,742018;89,56145;73,555358;1,772108;122,5283846;140,8406596;118,645412;105,8345344;132,4364352;103,368424;7,613314;2,245608;190,87282;179,52222;163,73206;174,078166;150,50876;5,135964
8,5;2,053606;123,217876;123,236388;126,515018;111,33975;93,387758;3,233238;138,9163846;157,6616596;138,397412;121,0685344;149,5364352;120,275424;7,901194;2,785208;213,47782;199,17222;183,28506;193,588166;169,25176;5,305364
9;2,895256;145,204876;149,145388;146,412018;131,25175;112,000258;3,277248;152,3763846;170,9306596;155,823412;133,9905344;164,0864352;136,668424;8,279214;3,112008;232,14382;216,45122;201,77306;210,985166;186,81376;6,033664
9,5;4,797706;166,375876;173,690388;166,127018;151,31775;130,627258;4,445668;164,3433846;183,3756596;171,246412;145,8815344;177,5404352;150,405424;8,457974;3,645608;247,99582;230,81322;216,63206;225,513166;200,92876;6,243164
10;6,103036;183,511876;193,329388;182,699018;168,85675;146,713258;3,386678;174,0143846;193,0096596;184,284412;155,7115344;188,3594352;162,117424;8,077544;4,445308;261,87882;243,60922;229,65506;237,727166;213,24776;6,757764
10,5;8,860936;200,230876;212,023388;198,229018;185,77475;162,121258;4,242498;183,8953846;202,9326596;197,319412;165,4405344;199,3154352;174,229424;7,986204;5,469908;274,36382;254,32322;240,62006;249,263166;224,78976;6,337764
11;12,569136;214,467876;228,065388;211,905018;200,80975;175,628258;4,440548;193,1183846;211,8796596;209,134412;174,2665344;209,3834352;185,628424;9,275804;7,745308;285,45082;264,44022;251,95606;259,112166;235,69176;7,899064
11,5;16,579636;227,242876;242,200388;223,823018;214,38575;187,499258;4,755578;200,4683846;218,4906596;217,590412;179,8575344;216,8944352;194,427424;8,410044;9,191908;294,07882;272,18322;259,90206;267,306166;243,59376;7,749164
12;22,224836;239,035876;255,548388;234,982018;227,05675;200,333258;4,912578;207,3383846;225,2116596;225,997412;187,1225344;224,0894352;203,224424;8,674424;12,195908;302,62082;279,78722;267,54506;274,874166;252,02376;8,300864
12,5;28,812736;248,784876;266,489388;244,466018;238,13075;209,961258;4,548778;213,1623846;231,1486596;233,987412;191,9275344;230,6924352;210,518424;8,947834;15,079908;309,48782;285,21022;274,71206;281,396166;258,06076;8,441664
13;35,810936;258,716876;277,163388;253,380018;248,96775;219,610258;5,179978;218,3563846;235,8116596;241,183412;197,3045344;236,7924352;217,311424;9,245364;19,915108;315,48982;291,06322;280,27006;287,207166;264,69976;8,801264
13,5;43,013836;266,751876;286,305388;261,509018;257,32575;228,412258;5,708778;223,9653846;240,8246596;246,962412;202,3655344;241,7204352;223,694424;9,751194;22,823208;320,62982;293,98422;284,10706;291,197166;268,59676;8,036764
14;51,241936;273,565876;294,008388;268,675018;266,35375;236,536258;5,929078;227,9633846;245,0606596;252,059412;205,7005344;246,0494352;229,149424;9,415384;27,862608;324,84682;297,95822;288,81206;295,311166;272,79976;8,426864
14,5;58,987336;279,931876;301,290388;274,309018;273,43875;243,627258;5,737678;232,8323846;249,0856596;257,156412;209,7335344;250,3004352;234,776424;10,434294;32,782308;329,36682;302,04322;292,61306;299,083166;277,58576;8,969164
15;66,296636;285,205876;307,169388;279,442018;280,21175;249,964258;5,824478;236,1163846;252,3336596;261,352412;212,7765344;253,9204352;238,890424;10,680894;35,960408;331,88582;305,20822;295,55206;301,394166;281,36076;9,637764
15,5;72,674136;290,270876;312,014388;284,514018;285,22675;254,919258;6,172378;238,7913846;254,9946596;264,617412;215,3355344;256,9424352;242,491424;9,544104;39,665608;335,33982;307,27922;299,18206;304,627166;285,13876;10,048664
16;79,537236;295,890876;318,090388;289,360018;291,57575;260,786258;7,380278;242,0793846;257,4376596;267,933412;217,0335344;259,7724352;246,091424;9,997194;41,306708;336,92182;309,62122;302,09306;308,293166;288,89176;9,809964
16,5;83,691536;298,898876;322,216388;292,279018;296,23575;264,860258;6,701978;244,9733846;259,7876596;271,694412;219,0995344;262,0174352;249,774424;9,979694;41,461008;338,30982;311,03622;304,79906;310,688166;291,85776;9,582364
17;88,969636;303,272876;326,134388;296,198018;300,91375;269,896258;7,257578;247,5363846;262,4906596;274,439412;221,4815344;264,8184352;252,606424;10,574194;42,021708;339,87182;313,31622;307,01106;312,921166;294,90576;9,230564
17,5;92,404336;306,319876;329,103388;299,100018;305,90075;273,410258;7,844478;249,2223846;264,5156596;276,384412;223,2345344;266,4674352;254,739424;10,411694;42,777508;340,97082;315,36422;310,18306;315,638166;297,65276;9,443964
18;95,026636;308,433876;331,489388;301,445018;308,85975;276,450258;7,163578;252,1383846;267,6286596;279,698412;225,6465344;269,1874352;258,153424;10,551894;42,772608;343,10082;317,79022;312,37006;318,133166;300,70976;10,013364
18,5;97,101136;312,032876;334,653388;303,543018;311,99175;279,422258;8,209278;254,8603846;270,2076596;281,318412;226,8405344;270,2674352;259,901424;11,120394;42,590908;344,02282;319,72522;314,89606;320,434166;302,38676;10,743764
