Zeit;Probe1;Probe2;Probe3;Probe4;Probe5;Probe6;Probe7;Probe8
0;167,683;227,562;211,53;214,213;225,334;252,696;225,49;205,737
0,5;169,324;230,583;214,345;217,669;228,303;255,732;227,886;207,467
1;171,09;233,336;216,622;220,122;231,37;258,469;230,231;209,765
1,5;174,71;237,949;220,621;222,501;233,97;261,539;232,565;211,022
2;189,535;257,503;236,411;224,673;240,245;268,16;239,233;211,957
2,5;229,939;310,853;282,243;226,984;264,471;294,966;264,643;213,542
3;283,226;382,083;346,379;228,052;321,486;357,854;321,943;214,664
3,5;331,979;451,154;410,413;229,719;393,104;434,866;390,839;215,679
4;377,807;517,449;471,908;231,678;459,146;511,493;455,887;217,929
4,5;423,959;578,008;528,924;233,085;517,57;580,661;512,671;220,349
5;462,357;629,734;580,359;232,258;572,578;643,997;564,385;221,544
5,5;494,827;674,742;625,072;234,917;623,156;702,081;622,243;221,477
6;526,193;717,939;664,86;236,587;666,902;755,537;657,585;221,379
6,5;550,993;756,882;701,472;239,376;710,928;802,535;700,745;223,676
7;572,135;794,071;735,147;242,329;748,978;844,404;743,673;227,665
7,5;594,634;825,807;765,222;243,964;783,892;880,464;780,024;230,047
8;619,277;856,869;792,744;246,222;816,941;918,95;812,69;231,768
8,5;640,411;883,691;819,492;247,654;846,999;953,582;838,935;234,696
9;659,937;908,769;843,465;249,381;876,403;986,397;862,499;237,079
9,5;676,062;930,297;864,11;250,884;901,435;1014,28;886,929;238,159
10;691,45;951,747;883,103;252,661;923,832;1038,5;911,511;239,378
10,5;705,317;968,976;899,442;253,933;944,429;1056,05;930,033;239,812
11;718,234;986,724;915,005;254,92;962,368;1072,45;945,999;240,364
11,5;729,696;1001,93;928,617;256,494;979,172;1088,54;962,245;241,686
12;739,542;1015,94;941,463;256,912;992,545;1103,42;976,846;241,944
12,5;748,733;1027,4;953,724;257,957;1006,71;1118,12;990,958;242,481
13;757,056;1039,61;964,309;259,531;1018,46;1133,04;1004,08;242,948
13,5;765,737;1049,76;975,41;261,418;1031,57;1146,19;1016,06;245,147
14;771,876;1060,06;985,544;262,275;1040,41;1158,2;1025,74;246,424
14,5;776,082;1068,95;994,243;264,268;1050,61;1168,34;1035,73;248,196
15;779,678;1079,77;1002,47;264,985;1059,27;1178,86;1045,69;249,254
15,5;784,043;1087,57;1010,05;265,429;1068,15;1186,77;1054,46;250,541
16;790,024;1096,54;1018,03;267,115;1076,5;1195,93;1062,52;252,515
16,5;797,198;1103,46;1024,75;268,801;1083,36;1204,02;1070,36;254,19
17;803,179;1109,71;1031,73;269,121;1090,2;1212,39;1077,97;255,27
17,5;810,743;1115,1;1039,05;270,924;1096,83;1220,65;1085,56;257,095
18;817,067;1122,29;1045,6;272,5;1101,85;1227,08;1092,26;258,332
18,5;822,401;1127,33;1050,78;273,47;1107,64;1234,03;1099,8;259,292
19;828,387;1134,79;1056,67;275,045;1113,03;1243,16;1106,89;262,176
19,5;833,192;1139,49;1060,01;275,63;1118,75;1248,89;1112,85;263,142
