Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP
0,5;-6,7854;-9,8246;-8,3758;-5,6226;-6,5104;-6,6232;-5,591;-3,4526;-2,8422;-6,6622;-7,2774;-4,6728;-3,0386;-5,4656;-5,2244;-8,73236
1;-5,1444;-6,8036;-5,5608;-2,1666;-3,5414;-3,5872;-3,195;-1,7226;-1,3542;-2,2402;-4,7384;-2,3458;-0,8366;-2,0156;-2,1034;-3,04166
1,5;-3,3784;-4,0506;-3,2838;0,2864;-0,4744;-0,8502;-0,85;0,5754;-0,1402;-0,4932;-1,5804;-1,4528;-0,2776;-0,3066;-0,4294;0,33834
2;0,2416;0,5624;0,7152;2,6654;2,1256;2,2198;1,484;1,8324;1,3628;1,5718;2,5036;0,8522;1,6164;2,5604;2,0186;3,87334
2,5;15,0666;20,1164;16,5052;4,8374;8,4006;8,8408;8,152;2,7674;2,9738;7,8238;11,0926;7,6192;2,5364;5,2274;5,7386;7,56234
3;55,4706;73,4664;62,3372;7,1484;32,6266;35,6468;33,562;4,3524;3,9048;27,8738;36,4396;26,6922;3,3704;15,3854;18,0986;14,53234
3,5;108,7576;144,6964;126,4732;8,2164;89,6416;98,5348;90,862;5,4744;4,4888;63,7278;70,5136;54,3412;4,1284;38,2594;44,1206;30,05134
4;157,5106;213,7674;190,5072;9,8834;161,2596;175,5468;159,758;6,4894;5,7188;102,4008;103,8756;83,5132;5,3854;68,0024;78,5906;51,13334
4,5;203,3386;280,0624;252,0022;11,8424;227,3016;252,1738;224,806;8,7394;6,3708;139,3438;133,1116;110,4122;6,0754;97,0054;112,2736;71,74834
5;249,4906;340,6214;309,0182;13,2494;285,7256;321,3418;281,59;11,1594;7,1538;172,1588;160,1856;134,8552;7,0994;122,9244;143,1396;90,58934
5,5;287,8886;392,3474;360,4532;12,4224;340,7336;384,6778;333,304;12,3544;7,8778;201,9638;183,6946;157,3482;8,4154;146,9534;171,1196;109,08734
6;320,3586;437,3554;405,1662;15,0814;391,3116;442,7618;391,162;12,2874;7,8928;227,8288;205,1596;176,3852;9,2704;168,3064;195,5326;124,69734
6,5;351,7246;480,5524;444,9542;16,7514;435,0576;496,2178;426,504;12,1894;9,0738;256,2048;224,5336;193,5102;11,2654;187,8074;218,7146;139,99234
7;376,5246;519,4954;481,5662;19,5404;479,0836;543,2158;469,664;14,4864;9,3128;278,8008;242,7656;210,1442;11,7944;205,8584;239,2696;154,31434
7,5;397,6666;556,6844;515,2412;22,4934;517,1336;585,0848;512,592;18,4754;10,0468;298,5998;258,9356;225,4552;13,1074;221,4284;258,1416;166,80934
8;420,1656;588,4204;545,3162;24,1284;552,0476;621,1448;548,943;20,8574;10,8168;318,5298;275,2106;240,4382;14,6974;237,0834;275,4236;177,85334
8,5;444,8086;619,4824;572,8382;26,3864;585,0966;659,6308;581,609;22,5784;12,4068;337,6518;291,1636;256,5702;16,3264;251,6494;291,9466;189,77734
9;465,9426;646,3044;599,5862;27,8184;615,1546;694,2628;607,854;25,5064;13,4588;355,9378;306,4296;272,5962;17,9774;265,5294;309,1616;201,39834
9,5;485,4686;671,3824;623,5592;29,5454;644,5586;727,0778;631,418;27,8894;14,2828;374,7488;322,4426;287,3222;19,6724;279,6254;324,8676;212,53834
10;501,5936;692,9104;644,2042;31,0484;669,5906;754,9608;655,848;28,9694;14,7668;393,9778;338,6476;302,7512;21,1114;293,6744;341,6886;223,74934
10,5;516,9816;714,3604;663,1972;32,8254;691,9876;779,1808;680,43;30,1884;15,7608;412,7528;354,7916;317,3342;22,1364;308,8064;356,6766;234,38734
11;530,8486;731,5894;679,5362;34,0974;712,5846;796,7308;698,952;30,6224;16,4238;430,6948;371,4276;333,3122;23,1424;324,0464;372,9766;245,86534
11,5;543,7656;749,3374;695,0992;35,0844;730,5236;813,1308;714,918;31,1744;17,1268;448,2928;387,7286;348,9962;24,4544;340,4454;390,1306;258,15134
12;555,2276;764,5434;708,7112;36,6584;747,3276;829,2208;731,164;32,4964;17,7398;464,9168;404,3246;364,2082;25,4174;356,3144;406,8256;273,56434
12,5;565,0736;778,5534;721,5572;37,0764;760,7006;844,1008;745,765;32,7544;17,8908;481,5478;419,6306;378,5552;26,1234;372,0794;424,2826;284,74634
13;574,2646;790,0134;733,8182;38,1214;774,8656;858,8008;759,877;33,2914;18,7648;496,2128;434,7916;393,8472;27,8704;387,9194;440,5666;297,35434
13,5;582,5876;802,2234;744,4032;39,6954;786,6156;873,7208;772,999;33,7584;18,9998;506,6548;448,6226;406,1642;27,2054;403,0784;454,7126;307,93334
14;591,2686;812,3734;755,5042;41,5824;799,7256;886,8708;784,979;35,9574;19,6118;520,7308;463,2336;419,4052;28,6014;416,8054;469,5596;321,66734
14,5;597,4076;822,6734;765,6382;42,4394;808,5656;898,8808;794,659;37,2344;20,6308;534,9758;476,9206;431,5322;30,0534;431,9434;483,5866;334,11234
15;601,6136;831,5634;774,3372;44,4324;818,7656;909,0208;804,649;39,0064;21,0638;546,9678;488,8886;443,7252;30,8884;443,8834;496,9696;346,25934
15,5;605,2096;842,3834;782,5642;45,1494;827,4256;919,5408;814,609;40,0644;21,1408;560,0928;500,7126;453,2192;31,4674;457,0504;509,9136;356,95834
16;609,5746;850,1834;790,1442;45,5934;836,3056;927,4508;823,379;41,3514;21,4158;571,3138;511,7686;463,5472;32,1634;468,4754;521,4876;368,24134
16,5;615,5556;859,1534;798,1242;47,2794;844,6556;936,6108;831,439;43,3254;22,0988;582,4878;522,6936;472,3422;32,5674;480,0094;532,3816;379,30834
17;622,7296;866,0734;804,8442;48,9654;851,5156;944,7008;839,279;45,0004;22,8388;591,4758;532,0146;481,7592;33,9384;489,4714;542,8136;388,52334
17,5;628,7106;872,3234;811,8242;49,2854;858,3556;953,0708;846,889;46,0804;22,8038;601,8328;540,7686;488,8062;34,5094;499,5274;551,5236;397,86734
18;636,2746;877,7134;819,1442;51,0884;864,9856;961,3308;854,479;47,9054;23,0278;610,8628;549,2976;496,8722;35,1714;507,7464;560,8956;407,20834
18,5;642,5986;884,9034;825,6942;52,6644;870,0056;967,7608;861,179;49,1424;23,6808;619,5878;556,7866;504,8972;36,1224;516,7054;569,3326;415,85634
19;647,9326;889,9434;830,8742;53,6344;875,7956;974,7108;868,719;50,1024;23,6108;627,5878;563,6686;512,3402;36,5834;523,3274;576,5796;425,10934
19,5;653,9186;897,4034;836,7642;55,2094;881,1856;983,8408;875,809;52,9864;24,5928;635,3318;570,6556;518,3292;37,8264;531,8324;583,6776;432,40934
20;658,7236;902,1034;840,1042;55,7944;886,9056;989,5708;881,769;53,9524;24,8678;641,1698;576,9876;523,9882;38,6274;538,7054;590,6026;439,87134
