Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP
0,5;167,683;227,562;211,53;214,213;225,334;252,696;225,49;205,737;103,723;151,987;137,493;128,196;138,396;134,264;150,115;94,6553
1;169,324;230,583;214,345;217,669;228,303;255,732;227,886;207,467;105,211;156,409;140,032;130,523;140,598;137,714;153,236;100,346
1,5;171,09;233,336;216,622;220,122;231,37;258,469;230,231;209,765;106,425;158,156;143,19;131,416;141,157;139,423;154,91;103,726
2;174,71;237,949;220,621;222,501;233,97;261,539;232,565;211,022;107,928;160,221;147,274;133,721;143,051;142,29;157,358;107,261
2,5;189,535;257,503;236,411;224,673;240,245;268,16;239,233;211,957;109,539;166,473;155,863;140,488;143,971;144,957;161,078;110,95
3;229,939;310,853;282,243;226,984;264,471;294,966;264,643;213,542;110,47;186,523;181,21;159,561;144,805;155,115;173,438;117,92
3,5;283,226;382,083;346,379;228,052;321,486;357,854;321,943;214,664;111,054;222,377;215,284;187,21;145,563;177,989;199,46;133,439
4;331,979;451,154;410,413;229,719;393,104;434,866;390,839;215,679;112,284;261,05;248,646;216,382;146,82;207,732;233,93;154,521
4,5;377,807;517,449;471,908;231,678;459,146;511,493;455,887;217,929;112,936;297,993;277,882;243,281;147,51;236,735;267,613;175,136
5;423,959;578,008;528,924;233,085;517,57;580,661;512,671;220,349;113,719;330,808;304,956;267,724;148,534;262,654;298,479;193,977
5,5;462,357;629,734;580,359;232,258;572,578;643,997;564,385;221,544;114,443;360,613;328,465;290,217;149,85;286,683;326,459;212,475
6;494,827;674,742;625,072;234,917;623,156;702,081;622,243;221,477;114,458;386,478;349,93;309,254;150,705;308,036;350,872;228,085
6,5;526,193;717,939;664,86;236,587;666,902;755,537;657,585;221,379;115,639;414,854;369,304;326,379;152,7;327,537;374,054;243,38
7;550,993;756,882;701,472;239,376;710,928;802,535;700,745;223,676;115,878;437,45;387,536;343,013;153,229;345,588;394,609;257,702
7,5;572,135;794,071;735,147;242,329;748,978;844,404;743,673;227,665;116,612;457,249;403,706;358,324;154,542;361,158;413,481;270,197
8;594,634;825,807;765,222;243,964;783,892;880,464;780,024;230,047;117,382;477,179;419,981;373,307;156,132;376,813;430,763;281,241
8,5;619,277;856,869;792,744;246,222;816,941;918,95;812,69;231,768;118,972;496,301;435,934;389,439;157,761;391,379;447,286;293,165
9;640,411;883,691;819,492;247,654;846,999;953,582;838,935;234,696;120,024;514,587;451,2;405,465;159,412;405,259;464,501;304,786
9,5;659,937;908,769;843,465;249,381;876,403;986,397;862,499;237,079;120,848;533,398;467,213;420,191;161,107;419,355;480,207;315,926
