Copy;Positive;RNA;prob
0;0;0;0
0;0;2;0,0916
0;0;20;0,9982
0;0;200;1
0;0;;
0;0;;
0;0;;
0;0;;
2;0;;
2;0;;
2;0;;
2;0;;
2;0;;
2;0;;
2;1;;
20;1;;
20;1;;
20;1;;
20;1;;
20;1;;
20;1;;
20;1;;
200;1;;
200;1;;
200;1;;
200;1;;
200;1;;
200;1;;
200;1;;
2000;1;;
2000;1;;
2000;1;;
2000;1;;
2000;1;;
2000;1;;
2000;1;;
20000;1;;
20000;1;;
20000;1;;
20000;1;;
20000;1;;
20000;1;;
20000;1;;
200000;1;;
200000;1;;
200000;1;;
200000;1;;
200000;1;;
200000;1;;
200000;1;;
2000000;1;;
2000000;1;;
2000000;1;;
2000000;1;;
2000000;1;;
2000000;1;;
2000000;1;;
20000000;1;;
20000000;1;;
20000000;1;;
20000000;1;;
20000000;1;;
20000000;1;;
20000000;1;;
