konz;ct
1;34,65
1;33,87
1;33,86
10;31,97
10;34,64
10;34,56
10;34,66
10;34,67
10;33,45
10;32,83
100;31,88
100;30,18
100;31,86
100;31,42
100;30,53
100;30,51
100;31,25
1000;28,26
1000;28,25
1000;28,69
1000;28,27
1000;28,53
1000;28,42
1000;28,44
10000;24,82
10000;24,98
10000;24,95
10000;24,89
10000;25,09
10000;24,96
10000;24,63
100000;21,93
100000;21,54
100000;21,53
100000;21,6
100000;21,96
100000;21,68
100000;21,63
1000000;18,26
1000000;18,3
1000000;17,98
1000000;18,01
1000000;17,96
1000000;18,24
1000000;18,19
10000000;13,56
10000000;14,6
10000000;14,63
10000000;14,67
10000000;14,61
10000000;14,73
10000000;14,86
