konz;ct
1;8,497
10;8,569843
10;9,009039
10;8,006201
10;8,631305
10;8,310337
10;8,523048
10;8,85653
100;7,452244
100;6,79242
100;6,735812
100;6,929867
100;6,845545
100;7,091533
100;7,321212
1000;7,613335
1000;6,975829
1000;7,182357
1000;6,810552
1000;6,830118
1000;6,631644
1000;6,81011
10000;
10000;6,787024
10000;5,675397
10000;6,113832
10000;6,451538
10000;6,295432
10000;6,575897
100000;3,705822
100000;3,897084
100000;3,937261
100000;3,888003
100000;3,685931
100000;3,665032
100000;3,950331
1000000;3,449608
1000000;4,411746
1000000;3,498011
1000000;3,468376
1000000;3,512844
1000000;3,393585
1000000;3,505129
10000000;2,092799
10000000;
10000000;2,96863
10000000;3,076917
10000000;3,03798
10000000;3,057434
10000000;3,072403
